Generation,Worker_Index,Start_Times,Shift_Lengths
1,26,"[11, 11, 11, 11, 'X', 'X', 11]","[6, 6, 6, 6, 0, 0, 6]"
1,27,"[18, 18, 18, 18, 'X', 'X', 18]","[10, 10, 10, 10, 0, 0, 10]"
1,28,"[1, 1, 1, 'X', 'X', 1, 1]","[4, 4, 4, 0, 0, 4, 4]"
1,29,"[2, 2, 'X', 'X', 2, 2, 2]","[11, 11, 0, 0, 11, 11, 11]"
1,30,"[15, 'X', 'X', 15, 15, 15, 15]","[9, 0, 0, 9, 9, 9, 9]"
1,31,"[11, 11, 11, 'X', 'X', 11, 11]","[9, 9, 9, 0, 0, 9, 9]"
1,32,"[19, 19, 19, 19, 'X', 'X', 19]","[7, 7, 7, 7, 0, 0, 7]"
1,33,"[10, 10, 'X', 'X', 10, 10, 10]","[11, 11, 0, 0, 11, 11, 11]"
1,34,"[21, 21, 'X', 'X', 21, 21, 21]","[12, 12, 0, 0, 12, 12, 12]"
1,35,"['X', 'X', 22, 22, 22, 22, 22]","[0, 0, 8, 8, 8, 8, 8]"
1,36,"['X', 23, 23, 23, 23, 23, 'X']","[0, 5, 5, 5, 5, 5, 0]"
1,37,"[15, 15, 'X', 'X', 15, 15, 15]","[9, 9, 0, 0, 9, 9, 9]"
2,0,"['X', 16, 16, 16, 16, 16, 'X']","[0, 6, 6, 6, 6, 6, 0]"
2,1,"[19, 19, 'X', 'X', 19, 19, 19]","[6, 6, 0, 0, 6, 6, 6]"
2,2,"[6, 6, 6, 6, 6, 'X', 'X']","[8, 8, 8, 8, 8, 0, 0]"
2,3,"[21, 21, 'X', 'X', 21, 21, 21]","[12, 12, 0, 0, 12, 12, 12]"
2,4,"['X', 'X', 17, 17, 17, 17, 17]","[0, 0, 7, 7, 7, 7, 7]"
2,5,"['X', 11, 11, 11, 11, 11, 'X']","[0, 7, 7, 7, 7, 7, 0]"
2,6,"['X', 6, 6, 6, 6, 6, 'X']","[0, 12, 12, 12, 12, 12, 0]"
2,7,"['X', 15, 15, 15, 15, 15, 'X']","[0, 10, 10, 10, 10, 10, 0]"
2,8,"['X', 'X', 14, 14, 14, 14, 14]","[0, 0, 5, 5, 5, 5, 5]"
2,9,"[13, 13, 13, 'X', 'X', 13, 13]","[7, 7, 7, 0, 0, 7, 7]"
2,10,"['X', 16, 16, 16, 16, 16, 'X']","[0, 11, 11, 11, 11, 11, 0]"
2,11,"['X', 'X', 13, 13, 13, 13, 13]","[0, 0, 8, 8, 8, 8, 8]"
2,12,"['X', 11, 11, 11, 11, 11, 'X']","[0, 10, 10, 10, 10, 10, 0]"
2,13,"[2, 2, 2, 'X', 'X', 2, 2]","[12, 12, 12, 0, 0, 12, 12]"
2,14,"[7, 7, 7, 'X', 'X', 7, 7]","[6, 6, 6, 0, 0, 6, 6]"
2,15,"['X', 12, 12, 12, 12, 12, 'X']","[0, 12, 12, 12, 12, 12, 0]"
2,16,"[0, 0, 0, 0, 0, 'X', 'X']","[9, 9, 9, 9, 9, 0, 0]"
2,17,"[8, 8, 8, 8, 'X', 'X', 8]","[6, 6, 6, 6, 0, 0, 6]"
2,18,"['X', 11, 11, 11, 11, 11, 'X']","[0, 11, 11, 11, 11, 11, 0]"
2,19,"[2, 2, 'X', 'X', 2, 2, 2]","[10, 10, 0, 0, 10, 10, 10]"
2,20,"['X', 3, 3, 3, 3, 3, 'X']","[0, 12, 12, 12, 12, 12, 0]"
2,21,"[9, 9, 9, 'X', 'X', 9, 9]","[6, 6, 6, 0, 0, 6, 6]"
2,22,"['X', 18, 18, 18, 18, 18, 'X']","[0, 5, 5, 5, 5, 5, 0]"
2,23,"[14, 14, 14, 14, 14, 'X', 'X']","[7, 7, 7, 7, 7, 0, 0]"
2,24,"['X', 13, 13, 13, 13, 13, 'X']","[0, 9, 9, 9, 9, 9, 0]"
2,25,"[9, 9, 'X', 'X', 9, 9, 9]","[8, 8, 0, 0, 8, 8, 8]"
2,26,"[11, 11, 11, 11, 'X', 'X', 11]","[6, 6, 6, 6, 0, 0, 6]"
2,27,"[18, 18, 18, 18, 'X', 'X', 18]","[10, 10, 10, 10, 0, 0, 10]"
2,28,"[1, 1, 1, 'X', 'X', 1, 1]","[4, 4, 4, 0, 0, 4, 4]"
2,29,"[2, 2, 'X', 'X', 2, 2, 2]","[11, 11, 0, 0, 11, 11, 11]"
2,30,"[15, 'X', 'X', 15, 15, 15, 15]","[9, 0, 0, 9, 9, 9, 9]"
2,31,"[11, 11, 11, 'X', 'X', 11, 11]","[9, 9, 9, 0, 0, 9, 9]"
2,32,"[19, 19, 19, 19, 'X', 'X', 19]","[7, 7, 7, 7, 0, 0, 7]"
2,33,"[10, 10, 'X', 'X', 10, 10, 10]","[11, 11, 0, 0, 11, 11, 11]"
2,34,"[21, 21, 'X', 'X', 21, 21, 21]","[12, 12, 0, 0, 12, 12, 12]"
2,35,"['X', 'X', 22, 22, 22, 22, 22]","[0, 0, 8, 8, 8, 8, 8]"
2,36,"['X', 23, 23, 23, 23, 23, 'X']","[0, 5, 5, 5, 5, 5, 0]"
2,37,"[15, 15, 'X', 'X', 15, 15, 15]","[9, 9, 0, 0, 9, 9, 9]"
3,0,"[15, 15, 'X', 'X', 15, 15, 15]","[4, 4, 0, 0, 4, 4, 4]"
3,1,"['X', 1, 1, 1, 1, 1, 'X']","[0, 12, 12, 12, 12, 12, 0]"
3,2,"[1, 1, 'X', 'X', 1, 1, 1]","[10, 10, 0, 0, 10, 10, 10]"
3,3,"[21, 21, 'X', 'X', 21, 21, 21]","[12, 12, 0, 0, 12, 12, 12]"
3,4,"['X', 'X', 17, 17, 17, 17, 17]","[0, 0, 7, 7, 7, 7, 7]"
3,5,"['X', 11, 11, 11, 11, 11, 'X']","[0, 7, 7, 7, 7, 7, 0]"
3,6,"[14, 14, 'X', 'X', 14, 14, 14]","[4, 4, 0, 0, 4, 4, 4]"
3,7,"['X', 15, 15, 15, 15, 15, 'X']","[0, 10, 10, 10, 10, 10, 0]"
3,8,"['X', 'X', 14, 14, 14, 14, 14]","[0, 0, 5, 5, 5, 5, 5]"
3,9,"[13, 13, 13, 'X', 'X', 13, 13]","[7, 7, 7, 0, 0, 7, 7]"
3,10,"['X', 16, 16, 16, 16, 16, 'X']","[0, 11, 11, 11, 11, 11, 0]"
3,11,"['X', 'X', 12, 12, 12, 12, 12]","[0, 0, 7, 7, 7, 7, 7]"
3,12,"['X', 11, 11, 11, 11, 11, 'X']","[0, 10, 10, 10, 10, 10, 0]"
3,13,"['X', 'X', 10, 10, 10, 10, 10]","[0, 0, 11, 11, 11, 11, 11]"
3,14,"[4, 'X', 'X', 4, 4, 4, 4]","[4, 0, 0, 4, 4, 4, 4]"
3,15,"['X', 'X', 18, 18, 18, 18, 18]","[0, 0, 11, 11, 11, 11, 11]"
3,16,"['X', 2, 2, 2, 2, 2, 'X']","[0, 6, 6, 6, 6, 6, 0]"
3,17,"[8, 8, 8, 8, 'X', 'X', 8]","[6, 6, 6, 6, 0, 0, 6]"
3,18,"['X', 11, 11, 11, 11, 11, 'X']","[0, 11, 11, 11, 11, 11, 0]"
3,19,"[2, 2, 'X', 'X', 2, 2, 2]","[10, 10, 0, 0, 10, 10, 10]"
3,20,"['X', 3, 3, 3, 3, 3, 'X']","[0, 12, 12, 12, 12, 12, 0]"
3,21,"['X', 'X', 13, 13, 13, 13, 13]","[0, 0, 4, 4, 4, 4, 4]"
3,22,"[1, 1, 'X', 'X', 1, 1, 1]","[5, 5, 0, 0, 5, 5, 5]"
3,23,"['X', 12, 12, 12, 12, 12, 'X']","[0, 7, 7, 7, 7, 7, 0]"
3,24,"['X', 13, 13, 13, 13, 13, 'X']","[0, 9, 9, 9, 9, 9, 0]"
3,25,"['X', 10, 10, 10, 10, 10, 'X']","[0, 4, 4, 4, 4, 4, 0]"
3,26,"[12, 12, 12, 12, 'X', 'X', 12]","[9, 9, 9, 9, 0, 0, 9]"
3,27,"['X', 5, 5, 5, 5, 5, 'X']","[0, 5, 5, 5, 5, 5, 0]"
3,28,"[1, 1, 1, 'X', 'X', 1, 1]","[4, 4, 4, 0, 0, 4, 4]"
3,29,"[9, 9, 'X', 'X', 9, 9, 9]","[6, 6, 0, 0, 6, 6, 6]"
3,30,"[13, 13, 13, 13, 13, 'X', 'X']","[9, 9, 9, 9, 9, 0, 0]"
3,31,"[11, 11, 11, 'X', 'X', 11, 11]","[9, 9, 9, 0, 0, 9, 9]"
3,32,"[23, 23, 23, 'X', 'X', 23, 23]","[9, 9, 9, 0, 0, 9, 9]"
3,33,"[10, 10, 'X', 'X', 10, 10, 10]","[11, 11, 0, 0, 11, 11, 11]"
3,34,"[19, 19, 19, 19, 'X', 'X', 19]","[4, 4, 4, 4, 0, 0, 4]"
3,35,"[4, 4, 4, 4, 'X', 'X', 4]","[12, 12, 12, 12, 0, 0, 12]"
3,36,"['X', 23, 23, 23, 23, 23, 'X']","[0, 5, 5, 5, 5, 5, 0]"
3,37,"[14, 14, 14, 'X', 'X', 14, 14]","[9, 9, 9, 0, 0, 9, 9]"
3,38,"[18, 18, 18, 'X', 'X', 18, 18]","[10, 10, 10, 0, 0, 10, 10]"
3,39,"['X', 'X', 19, 19, 19, 19, 19]","[0, 0, 5, 5, 5, 5, 5]"
4,0,"[15, 15, 'X', 'X', 15, 15, 15]","[4, 4, 0, 0, 4, 4, 4]"
4,1,"[19, 19, 'X', 'X', 19, 19, 19]","[6, 6, 0, 0, 6, 6, 6]"
4,2,"[22, 22, 22, 22, 'X', 'X', 22]","[11, 11, 11, 11, 0, 0, 11]"
4,3,"[9, 9, 9, 9, 9, 'X', 'X']","[8, 8, 8, 8, 8, 0, 0]"
4,4,"['X', 'X', 17, 17, 17, 17, 17]","[0, 0, 7, 7, 7, 7, 7]"
4,5,"['X', 11, 11, 11, 11, 11, 'X']","[0, 7, 7, 7, 7, 7, 0]"
4,6,"[14, 14, 'X', 'X', 14, 14, 14]","[4, 4, 0, 0, 4, 4, 4]"
4,7,"[8, 8, 8, 8, 8, 'X', 'X']","[11, 11, 11, 11, 11, 0, 0]"
4,8,"[0, 'X', 'X', 0, 0, 0, 0]","[5, 0, 0, 5, 5, 5, 5]"
4,9,"[5, 5, 5, 5, 'X', 'X', 5]","[6, 6, 6, 6, 0, 0, 6]"
4,10,"['X', 16, 16, 16, 16, 16, 'X']","[0, 11, 11, 11, 11, 11, 0]"
4,11,"['X', 'X', 12, 12, 12, 12, 12]","[0, 0, 7, 7, 7, 7, 7]"
4,12,"['X', 11, 11, 11, 11, 11, 'X']","[0, 10, 10, 10, 10, 10, 0]"
4,13,"['X', 9, 9, 9, 9, 9, 'X']","[0, 6, 6, 6, 6, 6, 0]"
4,14,"[7, 7, 7, 'X', 'X', 7, 7]","[6, 6, 6, 0, 0, 6, 6]"
4,15,"['X', 12, 12, 12, 12, 12, 'X']","[0, 12, 12, 12, 12, 12, 0]"
4,16,"[0, 0, 0, 0, 0, 'X', 'X']","[9, 9, 9, 9, 9, 0, 0]"
4,17,"['X', 'X', 3, 3, 3, 3, 3]","[0, 0, 4, 4, 4, 4, 4]"
4,18,"['X', 11, 11, 11, 11, 11, 'X']","[0, 11, 11, 11, 11, 11, 0]"
4,19,"[21, 21, 21, 'X', 'X', 21, 21]","[10, 10, 10, 0, 0, 10, 10]"
4,20,"['X', 3, 3, 3, 3, 3, 'X']","[0, 12, 12, 12, 12, 12, 0]"
4,21,"['X', 'X', 0, 0, 0, 0, 0]","[0, 0, 4, 4, 4, 4, 4]"
4,22,"[1, 1, 'X', 'X', 1, 1, 1]","[5, 5, 0, 0, 5, 5, 5]"
4,23,"[9, 9, 9, 'X', 'X', 9, 9]","[6, 6, 6, 0, 0, 6, 6]"
